#sampleid	name	sample-identifier	Treatment	Sex	RNA or DNA	Volume (ul)	Conc (ng/ul)	Organism	Sample Description	Plate 	Well	Floor
5023-OC-22	5023-OC-22_S152_kneaddata_cat.fastq_profile	Experiment 48 F4	Bleomycin	F	DNA	20	18.4	Mouse	Stool	96 well	B10	ABSL2
5023-OC-23	5023-OC-23_S153_kneaddata_cat.fastq_profile	Experiment 47 M1	Bleomycin	M	DNA	20	15.6	Mouse	Stool	96 well	B11	ABSL2
5023-OC-24	5023-OC-24_S154_kneaddata_cat.fastq_profile	Experiment 47 M2	Bleomycin	M	DNA	20	18.3	Mouse	Stool	96 well	B12	ABSL2
5023-OC-25	5023-OC-25_S155_kneaddata_cat.fastq_profile	Experiment 47 M3	Bleomycin	M	DNA	20	18.2	Mouse	Stool	96 well	C1	ABSL2
5023-OC-26	5023-OC-26_S156_kneaddata_cat.fastq_profile	Experiment 47 M4	Bleomycin	M	DNA	20	42.8	Mouse	Stool	96 well	C2	ABSL2
5023-OC-27	5023-OC-27_S157_kneaddata_cat.fastq_profile	Experiment 47 M5	Bleomycin	M	DNA	20	19	Mouse	Stool	96 well	C3	ABSL2
5023-OC-28	5023-OC-28_S158_kneaddata_cat.fastq_profile	Experiment 48 M1	Bleomycin	M	DNA	20	16	Mouse	Stool	96 well	C4	ABSL2
5023-OC-29	5023-OC-29_S159_kneaddata_cat.fastq_profile	Experiment 48 M2	Bleomycin	M	DNA	20	18.7	Mouse	Stool	96 well	C5	ABSL2
5023-OC-30	5023-OC-30_S160_kneaddata_cat.fastq_profile	Experiment 48 M3	Bleomycin	M	DNA	20	25.8	Mouse	Stool	96 well	C6	ABSL2
5023-OC-31	5023-OC-31_S161_kneaddata_cat.fastq_profile	Experiment 48 M4	Bleomycin	M	DNA	20	14.6	Mouse	Stool	96 well	C7	ABSL2
5023-OC-32	5023-OC-32_S162_kneaddata_cat.fastq_profile	Experiment 35 F3	Saline 	F	DNA	20	47.7	Mouse	Stool	96 well	C8	ABSL1
5023-OC-33	5023-OC-33_S163_kneaddata_cat.fastq_profile	Experiment 35 M4	Saline 	M	DNA	20	57.1	Mouse	Stool	96 well	C9	ABSL1
5023-OC-34	5023-OC-34_S164_kneaddata_cat.fastq_profile	Experiment 49 F1	Saline 	F	DNA	20	81.9	Mouse	Stool	96 well	C10	ABSL1
5023-OC-35	5023-OC-35_S165_kneaddata_cat.fastq_profile	Experiment 49 F2	Saline 	F	DNA	20	35.4	Mouse	Stool	96 well	C11	ABSL1
5023-OC-36	5023-OC-36_S166_kneaddata_cat.fastq_profile	Experiment 49 F3	Saline 	F	DNA	20	98.1	Mouse	Stool	96 well	C12	ABSL1
5023-OC-37	5023-OC-37_S167_kneaddata_cat.fastq_profile	Experiment 49 F4	Saline 	F	DNA	20	69.7	Mouse	Stool	96 well	D1	ABSL1
5023-OC-38	5023-OC-38_S168_kneaddata_cat.fastq_profile	Experiment 49 M2	Saline 	M	DNA	20	95.6	Mouse	Stool	96 well	D2	ABSL1
5023-OC-39	5023-OC-39_S169_kneaddata_cat.fastq_profile	Experiment 49 M3	Saline 	M	DNA	20	50.6	Mouse	Stool	96 well	D3	ABSL1
5023-OC-40	5023-OC-40_S170_kneaddata_cat.fastq_profile	Experiment 49 M4	Saline 	M	DNA	20	30.3	Mouse	Stool	96 well	D4	ABSL1
5023-OC-41	5023-OC-41_S171_kneaddata_cat.fastq_profile	Experiment 49 M5	Saline 	M	DNA	20	24.2	Mouse	Stool	96 well	D5	ABSL1
5023-OC-42	5023-OC-42_S172_kneaddata_cat.fastq_profile	Experiment 30 F1	Bleomycin	F	DNA	20	96.3	Mouse	Stool	96 well	D6	ABSL1
5023-OC-43	5023-OC-43_S173_kneaddata_cat.fastq_profile	Experiment 30 F2	Bleomycin	F	DNA	20	50.1	Mouse	Stool	96 well	D7	ABSL1
5023-OC-44	5023-OC-44_S174_kneaddata_cat.fastq_profile	Experiment 30 F3	Bleomycin	F	DNA	20	134.2	Mouse	Stool	96 well	D8	ABSL1
5023-OC-45	5023-OC-45_S175_kneaddata_cat.fastq_profile	Experiment 30 F5	Bleomycin	F	DNA	20	173	Mouse	Stool	96 well	D9	ABSL1
5023-OC-46	5023-OC-46_S176_kneaddata_cat.fastq_profile	Experiment 30 M4	Bleomycin	M	DNA	20	29.2	Mouse	Stool	96 well	D10	ABSL1
5023-OC-47	5023-OC-47_S177_kneaddata_cat.fastq_profile	Experiment 30 M5	Bleomycin	M	DNA	20	187	Mouse	Stool	96 well	D11	ABSL1
5023-OC-48	5023-OC-48_S178_kneaddata_cat.fastq_profile	Experiment 30 M6	Bleomycin	M	DNA	20	408	Mouse	Stool	96 well	D12	ABSL1
5023-OC-49	5023-OC-49_S179_kneaddata_cat.fastq_profile	Experiment 30 M7	Bleomycin	M	DNA	20	123	Mouse	Stool	96 well	E1	ABSL1
5023-OC-50	5023-OC-50_S180_kneaddata_cat.fastq_profile	Experiment 30 M8	Bleomycin	M	DNA	20	44.8	Mouse	Stool	96 well	E2	ABSL1
5023-OC-51	5023-OC-51_S181_kneaddata_cat.fastq_profile	Experiment 52 F1	Bleomycin	F	DNA	20	25	Mouse	Stool	96 well	E3	Germ-free
5023-OC-52	5023-OC-52_S182_kneaddata_cat.fastq_profile	Experiment 52 F2	Bleomycin	F	DNA	20	81.1	Mouse	Stool	96 well	E4	Germ-free
5023-OC-53	5023-OC-53_S183_kneaddata_cat.fastq_profile	Experiment 52 F3	Bleomycin	F	DNA	20	116	Mouse	Stool	96 well	E5	Germ-free
5023-OC-54	5023-OC-54_S184_kneaddata_cat.fastq_profile	Experiment 52 F4	Saline 	F	DNA	20	249	Mouse	Stool	96 well	E6	Germ-free
5023-OC-55	5023-OC-55_S185_kneaddata_cat.fastq_profile	Experiment 52 F5	Saline 	F	DNA	20	106	Mouse	Stool	96 well	E7	Germ-free
5023-OC-56	5023-OC-56_S186_kneaddata_cat.fastq_profile	Experiment 52 F6	Saline 	F	DNA	20	54.9	Mouse	Stool	96 well	E8	Germ-free
5023-OC-57	5023-OC-57_S187_kneaddata_cat.fastq_profile	Experiment 52 M1	Bleomycin	M	DNA	20	50.9	Mouse	Stool	96 well	E9	Germ-free
5023-OC-58	5023-OC-58_S188_kneaddata_cat.fastq_profile	Experiment 52 M2	Bleomycin	M	DNA	20	80.7	Mouse	Stool	96 well	E10	Germ-free
5023-OC-59	5023-OC-59_S189_kneaddata_cat.fastq_profile	Experiment 52 M3	Bleomycin	M	DNA	20	45.2	Mouse	Stool	96 well	E11	Germ-free
5023-OC-60	5023-OC-60_S190_kneaddata_cat.fastq_profile	Experiment 52 M4	Saline 	M	DNA	20	81	Mouse	Stool	96 well	E12	Germ-free
5023-OC-61	5023-OC-61_S191_kneaddata_cat.fastq_profile	Experiment 52 M5	Saline 	M	DNA	20	89	Mouse	Stool	96 well	F1	Germ-free
5023-OC-62	5023-OC-62_S192_kneaddata_cat.fastq_profile	Experiment 52 M6	Saline 	M	DNA	20	219	Mouse	Stool	96 well	F2	Germ-free
5023-OC-64	5023-OC-64_S194_kneaddata_cat.fastq_profile	Experiment 52 pre environment	CONTROL	CONTROL	CONTROL	20	5.5	CONTROL	CONTROL	96 well	F4	Germ-free
5023-OC-65	5023-OC-65_S195_kneaddata_cat.fastq_profile	Experiment 52 gut environment	CONTROL	CONTROL	CONTROL	20	5.4	CONTROL	CONTROL	96 well	F5	Germ-free
5023-OC-66	5023-OC-66_S196_kneaddata_cat.fastq_profile	Kit control	CONTROL	CONTROL	CONTROL	20	0	CONTROL	CONTROL	96 well	F6	Control
5023-OC-67	5023-OC-67_S197_kneaddata_cat.fastq_profile	7th floor post environment	CONTROL	CONTROL	CONTROL	20	0	CONTROL	CONTROL	96 well	F7	ABSL1
5023-OC-68	5023-OC-68_S198_kneaddata_cat.fastq_profile	7th floor pre environment	CONTROL	CONTROL	CONTROL	20	0	CONTROL	CONTROL	96 well	F8	ABSL1
5023-OC-69	5023-OC-69_S199_kneaddata_cat.fastq_profile	7th floor  gut environment	CONTROL	CONTROL	CONTROL	20	6.9	CONTROL	CONTROL	96 well	F9	ABSL1
